city,temp_celsius,humidity,date
London,15.400000000000034,66,2025-05-20
Manchester,16.25,56,2025-05-20
Birmingham,22.710000000000036,93,2025-05-20
Leeds,15.390000000000043,68,2025-05-20
Glasgow,13.210000000000036,72,2025-05-20
Liverpool,15.110000000000014,65,2025-05-20
Bristol,9.330000000000041,71,2025-05-20
Sheffield,14.830000000000041,71,2025-05-20
Edinburgh,14.360000000000014,74,2025-05-20
Cardiff,17.370000000000005,60,2025-05-20
